epoch,train_loss,train_acc,val_loss,val_acc,learning_rate,time_seconds
1,0.458052,0.8649,0.142924,0.9585,1.000000e-04,23.16
2,0.074965,0.9788,0.084164,0.9736,1.000000e-04,20.36
3,0.030591,0.9936,0.070053,0.9787,1.000000e-04,20.66
4,0.012573,0.9986,0.064981,0.9799,1.000000e-04,21.03
5,0.005880,0.9998,0.063774,0.9805,1.000000e-04,20.94
6,0.003311,1.0000,0.062049,0.9814,1.000000e-04,20.86
7,0.002158,1.0000,0.061469,0.9814,1.000000e-04,20.86
8,0.001555,1.0000,0.061364,0.9817,1.000000e-04,20.90
9,0.001187,1.0000,0.061352,0.9817,1.000000e-04,20.85
10,0.000949,1.0000,0.061483,0.9821,1.000000e-04,20.93
11,0.000784,1.0000,0.061569,0.9824,1.000000e-04,20.80
12,0.000665,1.0000,0.061675,0.9824,1.000000e-04,20.89
13,0.000574,1.0000,0.061795,0.9824,1.000000e-04,20.82
14,0.000504,1.0000,0.061899,0.9824,1.000000e-04,20.98
15,0.000447,1.0000,0.061999,0.9824,1.000000e-04,20.93
16,0.000401,1.0000,0.062086,0.9826,1.000000e-04,20.84
17,0.000363,1.0000,0.062194,0.9827,1.000000e-04,20.90
18,0.000330,1.0000,0.062264,0.9827,1.000000e-04,21.00
19,0.000303,1.0000,0.062337,0.9830,1.000000e-04,20.89
20,0.000279,1.0000,0.062394,0.9830,1.000000e-04,20.87
