epoch,train_loss,train_acc,val_loss,val_acc,learning_rate,time_seconds
1,0.480933,0.8611,0.127540,0.9617,1.000000e-04,20.62
2,0.042517,0.9875,0.047656,0.9858,1.000000e-04,20.66
3,0.016031,0.9962,0.041445,0.9876,1.000000e-04,20.75
4,0.006951,0.9988,0.040486,0.9882,1.000000e-04,20.80
5,0.003206,0.9996,0.041008,0.9885,1.000000e-04,20.85
6,0.001835,0.9999,0.041404,0.9885,1.000000e-04,20.83
7,0.001172,0.9999,0.041651,0.9890,1.000000e-04,20.75
8,0.000829,1.0000,0.042166,0.9892,1.000000e-04,20.76
9,0.000647,1.0000,0.042755,0.9893,1.000000e-04,20.93
10,0.000503,1.0000,0.043131,0.9893,1.000000e-04,20.86
11,0.000393,1.0000,0.043587,0.9893,1.000000e-04,21.00
12,0.000330,1.0000,0.044020,0.9894,1.000000e-04,20.87
13,0.000285,1.0000,0.044378,0.9895,1.000000e-04,20.93
14,0.000250,1.0000,0.044737,0.9895,1.000000e-04,21.02
15,0.000222,1.0000,0.045077,0.9895,1.000000e-04,20.86
16,0.000200,1.0000,0.045385,0.9896,1.000000e-04,20.85
17,0.000181,1.0000,0.045670,0.9897,1.000000e-04,20.89
18,0.000166,1.0000,0.045940,0.9897,1.000000e-04,20.82
19,0.000152,1.0000,0.046183,0.9897,1.000000e-04,20.83
20,0.000141,1.0000,0.046451,0.9900,1.000000e-04,20.90
